entity_type,entity_id,name,status,issues,fixes_applied
subcategory,5cce6054-f43c-5c13-9395-9d24f69d0221,24x24 DOUBLE CHARGE,clean,,
subcategory,622df554-b4aa-51fd-b945-1f78b326d5f8,12x48 PLANKS,clean,,
subcategory,7474beb8-e8e0-5378-8162-3ea5f3a7c06d,32x64 GVT/PGVT,clean,,
subcategory,9eda5d90-9c84-5e76-bc2b-3ce0895e72cb,3x12 SUBWAY,clean,,
subcategory,bc567ecd-cf05-540e-b255-3db467d03bae,12x24 HD,clean,,
subcategory,c0811472-aed0-5b05-b816-2a5a70c3a6fb,10x24 DIGITAL,clean,,
subcategory,c57b5915-b478-57eb-af41-195b819f3e97,12x18 HD,clean,,
subcategory,d9760cb7-f49b-57ea-9a7e-7a0de949cd93,24x24 FULL BODY,clean,,
subcategory,dc93bb34-6c02-53d9-ba57-e45946798e1d,16x32 DIGITAL,clean,,
subcategory,df4c95bc-063e-5503-9632-6eb1ad51237f,8x48 RISER FULL BODY,clean,,
subcategory,f9a18512-78bb-5c6c-a47d-0662c4cf5fb0,48x72 GVT/PGVT,clean,,
subcategory,6fece080-3eba-522e-98db-5c8a5944b837,24x48 GVT/PGVT,clean,,
subcategory,a2bd25af-54cc-5db5-9d06-739a0970247c,24x48 FULL BODY,clean,,
product,287bb41f-e680-50dc-bb50-8b3b5d6d7f99,VARMORA BALCA OAK,clean,,
product,2ef93fed-a737-57c3-8dad-6f15273d4cd5,VARMORA TIAMA BROWN,clean,,
product,40f2590e-f3f3-5269-b568-b10a57795480,VARMORA OAK WOOD BEIGE,clean,,
product,6eeb0942-a4ac-53fb-9514-dfd2afefe835,VARMORA ASAD WHITE,clean,,
product,80752e30-9065-58e4-a427-dc7d67f8c5b7,VARMORA CAMPHOR NATURAL,clean,,
product,86d23e85-8cac-5d2a-8713-f6e76b442de8,VARMORA NATURAL WOOD BROWN,clean,,
product,8cd7e0d1-bc37-51dd-b808-00eb4a5b8ba6,VARMORA ALDER WOOD NATURAL,clean,,
product,de05de2e-a43b-5383-9006-6a60666f5a3f,VARMORA HEALWOOD COFFEE,clean,,
product,f084743f-b7f7-5489-87fc-08556b5b3036,VARMORA BALCA MAHOGANY,clean,,
product,f45f99be-fc1a-554d-8a65-c98221dde6de,VARMORA BIRCH WOOD BEIGE,clean,,
product,ff946d63-b57f-56c7-85f2-ca9d98520283,VARMORA TIAMA BEIGE,clean,,
product,0f4d3327-51c5-5365-a3a5-5ecc92aad1a7,UDAY GOLD 100,clean,,
