product_id,product_name,status,txn_count,opening_balance,baseline_opening_balance,reconciliation_gap,net_movement,current_quantity,projected_final,reasons
02f89791-9b02-5c56-b67a-65c626ea3de0,VARMORA SKERRA TUSK,clean,4,0,0,0,0,0,0,
036db243-6d41-5f52-99c0-76505b90ec5b,BARCELONA 21318 L,clean,4,0,0,0,36,36,36,
04773154-43e7-51ca-9b58-4bf26af1e67b,PASSERO OCEAN GREEN,clean,13,0,0,0,0,0,0,
05e73897-4b5f-5ea8-9ba3-33902b8455f3,TAG 24050,clean,4,0,0,0,0,0,0,
06088f10-3d98-52cf-8c23-43a9817d07c9,BARCELONA CHOTILANO 601,clean,5,0,0,0,34,34,34,
07170dab-181a-528c-b508-be6c02f6a545,ASIAN GRANITO LIMITED MUSIC WOOD,clean,2,0,0,0,0,0,0,
07b83fe7-df9d-50ec-be25-7e366986a600,BARCELONA HECTOR 603,clean,26,0,0,0,0,0,0,
083315fc-79a1-5a8d-a51b-3ecc00779537,BARCELONA 21166 L,clean,16,0,0,0,0,0,0,
0957eec8-ecc1-59b8-98f4-7d9acdc9a9a0,GVIT 505,clean,2,0,0,0,0,0,0,
0ac56afb-f353-56b1-84f2-09074fbb76e1,RANGE BRILLO GRIS DECOR A,clean,8,0,0,0,79,79,79,
0aeb1351-e8d2-5042-8159-21bf5ed53718,EDDICA ALLIANCE DARK,clean,69,0,0,0,78,78,78,
0b5046e9-df76-5869-aeee-da56bc012e8e,RANGE TRAVERTINO NATURAL,clean,6,0,0,0,60,60,60,
0cee03b7-92db-571d-8fcd-0bd043b7268e,GVIT COFFEE WOOD,clean,2,0,0,0,0,0,0,
0de39862-29ff-5f5d-b57a-224167f55f9e,BARCELONA 21251 D,clean,9,0,0,0,58,58,58,
0f447061-97c7-57f3-b903-9b248f71d82c,VARMORA BOTTOCHINO GREEN,clean,5,0,0,0,1,1,1,
10ea7d05-4712-5590-9afe-7bdfab877d93,BARCELONA 21181 HL1,clean,11,0,0,0,16,16,16,
124d5bda-7df0-5567-a885-f8ee590c99ae,VARMORA SMOKY BEIGE,clean,6,0,0,0,0,0,0,
13177a32-da84-5f7b-bd78-aac91076cd68,TAG 25115,clean,6,0,0,0,0,0,0,
1334740a-107d-528e-91c2-258d94a9816f,BARCELONA CANE 609,clean,6,0,0,0,7,7,7,
